Red,Blue,Green,Yellow,Pink,Black
red,blue,green,yellow,pink,black
that's,men,c.,have you,and,let
right,hey,and,yeah you,thanks,right
reds,again,great,yeah,think,land
riots,then,really,hello,st,lange
it's,none,me,yeah i know,i'm,yes
eyes,lynn,reid,yes,bang,blank
and,you're,ring,yet,hey,when
brent,i am,three,no,hank,but
the,lou,they,yet no,good,
,um,bernie,yeah though,if,
,hi,good,yeah that,i,
,o. k.,oh,yes oh,great,
,the men,okay,you know,hi,
,it is,right,yeah and,they,
,you,ray,so,hang,
,there,cream,yeah so,i mean,
,uh huh,i mean,yeah but,payment,
,two,being,young,kang,
,when,king,here,i think,
,yes,the,galen,key,
,do,again,him,king,
,yeah,team,yemen,bank,
,live,thirteen,hill,but,
,no,dean,in them,,
,who,,yep,,
,i,,him or,,
,it,,you are,,
,play,,he ever,,
,to lynn,,here are,,
,blend,,she ever,,
,larry,,yeah man,,
,flynn,,you,,
,shh,,yams,,
,,,yeah no,,
