Red,Blue,Green,Yellow,Pink,Black
red,blue,green,yellow,pink,black
that's,men,c.,have you,and,none
right,hey,and,yeah you,thanks,the night
reds,again,great,yeah,think,not
riots,then,really,hello,st,and i
it's,none,me,yeah i know,i'm,mac
eyes,lynn,reid,yes,bang,but
and,you're,ring,yet,hey,right
brent,i am,three,no,hank,that
the,lou,they,yet no,good,done
men,um,bernie,yeah though,if,hi
maine,hi,good,yeah that,i,then
but,o. k.,oh,yes oh,great,the lab
it,the men,okay,you know,hi,men
bank,it is,right,yeah and,they,back
okay,you,ray,so,hang,land
bang,there,cream,yeah so,i mean,let
they,uh huh,i mean,yeah but,payment,that's
frank,two,being,young,kang,yeah
go ahead,when,king,here,i think,the
ed,yes,the,galen,key,no
may,do,again,him,king,it
mate,yeah,team,yemen,bank,lat
dead,live,thirteen,hill,but,
may i,no,dean,in them,,oh
,who,,yep,,hey
,i,,him or,,uh huh
,it,,you are,,huh
,play,,he ever,,lab
,to lynn,,here are,,and
,blend,,she ever,,why
,larry,,yeah man,,line
,flynn,,you,,laugh
,shh,,yams,,lange
,,,yeah no,,yes
,,,,,blank
,,,,,when
